Stage name,Appearance,MusicBrainz 1st result,Spotify ID,URL
Garbage,0,https://musicbrainz.org/artist/f9ef7a22-4262-4596-a2a8-1d19345b8e50,,
Charlatans,0,https://musicbrainz.org/artist/8434409e-baa9-4e12-b4aa-566a91c7d7cf,,
Red Hot Chili Peppers,0,https://musicbrainz.org/artist/8bfac288-ccc5-448d-9573-c33ea2aa5c30,,
Eminem,0,https://musicbrainz.org/artist/b95ce3ff-3d05-4e87-9e01-c97b66af13d4,,
The Strokes,0,https://musicbrainz.org/artist/f181961b-20f7-459e-89de-920ef03c7ed0,,
Linkin Park,0,https://musicbrainz.org/artist/f59c5520-5f46-4d2c-b2c4-822eabf53419,,
Green Day ,0,https://musicbrainz.org/artist/084308bd-1654-436f-ba03-df6697104e19,,
The Darkness,0,https://musicbrainz.org/artist/4dd43645-1d34-434e-b5ec-668522115b2e,,
Pixies,0,https://musicbrainz.org/artist/b6b2bb8d-54a9-491f-9607-7b546023b433,,
Iron Maiden,0,https://musicbrainz.org/artist/7c3762a3-51f8-4cf3-8565-1ee26a90efe2,,
Franz Ferdinand,0,https://musicbrainz.org/artist/aa7a2827-f74b-473c-bd79-03d065835cf7,,
Pearl Jam,0,https://musicbrainz.org/artist/83b9cbe7-9857-49e2-ab8e-b57b01038103,,
Razorlight,0,https://musicbrainz.org/artist/f2cb0435-d643-4fab-9587-fdb0279330a7,,
The Smashing Pumpkins,0,https://musicbrainz.org/artist/ba0d6274-db14-4ef5-b28d-657ebde1a396,,
Rage Against the Machine,0,https://musicbrainz.org/artist/3798b104-01cb-484c-a3b0-56adc6399b80,,
Guns n Roses,0,https://musicbrainz.org/artist/eeb1195b-f213-4ce1-b28c-8565211f8e43,,
Blink 182,0,https://musicbrainz.org/artist/0743b15a-3c32-48c8-ad58-cb325350befa,,
My Chemical Romance,0,https://musicbrainz.org/artist/c07f0676-9143-4217-8a9f-4c26bd636f13,,
The Cure,0,https://musicbrainz.org/artist/69ee3720-a7cb-4402-b48d-a02c366f2bcf,,
Biffy Clyro,0,https://musicbrainz.org/artist/892500b7-09a6-4049-ba92-2d192dd70563,,
Queens of the Stone Age,0,https://musicbrainz.org/artist/7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,,
The Libertines,0,https://musicbrainz.org/artist/82b304c0-7da4-45d3-896a-0767c7ae1141,,
Foals,0,https://musicbrainz.org/artist/6a65d878-fcd0-42cf-aff9-ca1d636a8bcc,,
Snow Patrol,0,https://musicbrainz.org/artist/a66999a7-ae5c-460e-ba94-1a01143ae847,,
Antony and the Johnsons,0,https://musicbrainz.org/artist/90cc2464-234e-4da0-b39b-576f36e633bc,,
Mogwai,0,https://musicbrainz.org/artist/cee3f961-4197-483b-a3ad-73242a97eb4a,,
Damien Rice,0,https://musicbrainz.org/artist/2119beb8-6ac5-4f21-82a4-b831c90c0024,,
"The Good, The Bad and The Queen",0,https://musicbrainz.org/artist/0f211bfc-8c69-4cb7-9165-acbe4353cb0a,,
Sigur Ros,0,https://musicbrainz.org/artist/f6f2326f-6b25-4170-b89d-e235b25508e8,,
Interpol,0,https://musicbrainz.org/artist/c44ff8d1-8c81-45c8-abd6-5feefb07b764,,
Pet Shop Boys,0,https://musicbrainz.org/artist/be540c02-7898-4b79-9acc-c8122c7d9e83,,
Grace Jones,0,https://musicbrainz.org/artist/b1c124b3-cf60-41a6-8699-92728c8a3fe0,,
Nick Cave and the Bad Seeds,0,https://musicbrainz.org/artist/172e1f1a-504d-4488-b053-6344ba63e6d0,,
Belle and Sebastian,0,https://musicbrainz.org/artist/e5c7b94f-e264-473c-bb0f-37c85d4d5c70,,
Vampire Weekend,0,https://musicbrainz.org/artist/af37c51c-0790-4a29-b995-456f98a6b8c9,,
The National,0,https://musicbrainz.org/artist/664c3e0e-42d8-48c1-b209-1efca19c0325,,
Paolo Nutini,0,https://musicbrainz.org/artist/24ea074c-59cc-41c5-a5de-f68c2952965f,,
Bon Iver,0,https://musicbrainz.org/artist/437a0e49-c6ae-42f6-a6c1-84f25ed366bc,,
Elbow,0,https://musicbrainz.org/artist/394dcad5-3794-4a7e-a62e-6dadc1355364,,
Paul Weller,0,https://musicbrainz.org/artist/c4406045-e640-4cfe-8b88-4732cce314d4,,
Bloc Party,0,https://musicbrainz.org/artist/8c538f11-c141-4588-8ecb-931083524186,,
Kraftwerk,0,https://musicbrainz.org/artist/5700dcd4-c139-4f31-aa3e-6382b9af9032,,
Lily Allen,0,https://musicbrainz.org/artist/6e0c7c0e-cba5-4c2c-a652-38f71ef5785d,,
Damon Albarn,0,https://musicbrainz.org/artist/7d7a5fdd-0d04-4c36-8bee-906feeae239c,,
The Black Keys,0,https://musicbrainz.org/artist/d15721d8-56b4-453d-b506-fc915b14cba2,,
alt-J,0,https://musicbrainz.org/artist/fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,,
Portishead,0,https://musicbrainz.org/artist/8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,,
Noel Gallagher's High Flying Birds,0,https://musicbrainz.org/artist/d5f54887-117b-42a1-9aee-8780b84ebaba,,
The Maccabees,0,https://musicbrainz.org/artist/83b86967-6b1a-4ca8-9cf0-c7cfe047ef3f,,
New Order,0,https://musicbrainz.org/artist/f1106b17-dcbb-45f6-b938-199ccfab50cc,,
The 1975,0,https://musicbrainz.org/artist/5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,,
Mumford and Sons,0,https://musicbrainz.org/artist/c44e9c22-ef82-4a77-9bcd-af6c958446d6,,
Fleet Foxes,0,https://musicbrainz.org/artist/fa97dd36-1b82-43d7-a6e4-2adeafd59cef,,
David Guetta,0,https://musicbrainz.org/artist/302bd7b9-d012-4360-897a-93b00c855680,,
Run DMC,0,https://musicbrainz.org/artist/598bb421-78fc-4f5e-9577-ebe666922c72,,
Faithless,0,https://musicbrainz.org/artist/23d9d74d-c95e-46a6-be26-a6075c49747a,,
Queen with Adam Lambert,0,https://musicbrainz.org/artist/0383dadf-2a4e-4d10-a46a-e9e041da8eb3,,
Fleetwood Mac,0,https://musicbrainz.org/artist/bd13909f-1c29-4c27-a874-d4aaf27c5b1a,,
Boy George,0,https://musicbrainz.org/artist/2787bddf-6439-4c73-8162-5f4a1e5fa030,,
Calvin Harriss,0,https://musicbrainz.org/artist/8dd98bdc-80ec-4e93-8509-2f46bafc09a7,,
Billy Idol,0,https://musicbrainz.org/artist/47c8f88b-987a-4b64-9175-2b1b57809727,,
The Stone Roses,0,https://musicbrainz.org/artist/b5fa29f1-6c22-4321-a488-b5f363b06b06,,
Bon Jovi,0,https://musicbrainz.org/artist/5dcdb5eb-cb72-4e6e-9e63-b7bace604965,,
Tom Petty and the Heartbreakers,0,https://musicbrainz.org/artist/f93dbc64-6f08-4033-bcc7-8a0bb4689849,,
Kaiser Chiefs,0,https://musicbrainz.org/artist/90218af4-4d58-4821-8d41-2ee295ebbe21,,
The Sex Pistols,0,https://musicbrainz.org/artist/e5db18cb-4b1f-496d-a308-548b611090d3,,
The Police,0,https://musicbrainz.org/artist/9e0e2b01-41db-4008-bd8b-988977d6019a,,
Bryan Adams,0,https://musicbrainz.org/artist/4dbf5678-7a31-406a-abbe-232f8ac2cd63,,
The Charlatans,0,https://musicbrainz.org/artist/8434409e-baa9-4e12-b4aa-566a91c7d7cf,,
