"","x"
"69","album rock,art rock,dance pop,dance rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock,synthpop"
"70","alternative rock,art rock,britpop,dance rock,dream pop,indie rock,madchester,neo-psychedelic,new romantic,new wave,new wave pop,permanent wave,post-punk,power pop,punk,rock,synthpop,uk post-punk"
"71","pop"
"72","britpop,chamber pop,indie rock,madchester"
"73","album rock,alternative rock,art rock,classic rock,dance rock,folk,folk rock,mellow gold,new wave,new wave pop,permanent wave,pop rock,power pop,pub rock,rock,roots rock,singer-songwriter,soft rock"
"74","detroit hip hop,g funk,hip hop,pop rap,rap"
"75","compositional ambient,focus,melancholia,post rock"
"76","alternative metal,alternative rock,funk metal,funk rock,groove metal,grunge,hard rock,metal,nu metal,post-grunge,rap metal,rap rock,rock"
"77","big beat,disco house,downtempo,electronic,hip house,trip hop"
"78","big beat,disco house,electronic"
"79","pop rap,rap"
"80","alt-indie rock,alternative rock,big beat,britpop,chamber psych,dance rock,dream pop,electronic,indie rock,madchester,neo-psychedelic,new wave"
"81","brostep,deep groove house,drum and bass,edm,electronic,grime,house,tropical house,uk garage"
"82","chamber pop,folk-pop,freak folk,indie folk,indie pop,indie rock,new americana,singer-songwriter,stomp and holler"
"83","album rock,british blues,classic rock,folk rock,hard rock,mellow gold,rock,singer-songwriter,soft rock"
"84","folk-pop,indie pop,pop"
"85","alternative dance,alternative rock,dance-punk,garage rock,indie pop,indie rock,indietronica,math pop,new rave,shimmer pop,synthpop"
"86","alternative metal,alternative rock,funk rock,hard rock,permanent wave,pop rock,post-grunge,rock"
"87","chamber pop,folk-pop,freak folk,indie folk,indie pop,indie rock,indietronica,neo-psychedelic,new americana,singer-songwriter,stomp and holler"
"88","britpop,garage rock,indie rock,madchester,pop rock,rock,welsh rock"
"89",""
"90","alternative dance,alternative rock,dance-punk,garage rock,indie rock,new rave,rock"
"91","alternative dance,chillwave,dance-punk,electronic,indie pop,indie rock,indietronica,new rave,nu disco,shimmer pop,synthpop"
"92","british alternative rock,emo,metalcore,pop punk,post-hardcore,punk christmas,screamo"
"93","alternative dance,alternative rock,britpop,dance pop,dance rock,electronic,lilith,new wave pop,permanent wave,pop rock,post-grunge,rock,synthpop"
"94","disco,soul christmas"
"95","alternative dance,chamber pop,electroclash,electronic,indie christmas,indietronica,new rave,new wave pop,pop christmas,pop rock,synthpop,trip hop"
"96",""
"97","art rock,dance rock,disco,electronic,new romantic,new wave,new wave pop,post-disco,synthpop"
"98","alternative rock,anti-folk,britpop,chamber pop,chamber psych,dance-punk,dream pop,e6fi,folk-pop,freak folk,garage psych,indie folk,indie pop,indie rock,lo-fi,neo-psychedelic,noise pop,nu gaze,power pop,singer-songwriter,slow core,space rock,stomp and holler"
"99","alternative rock,permanent wave,pop punk,pop rock,punk,rock"
"100","alternative dance,alternative rock,brooklyn indie,chamber pop,chillwave,dream pop,folk-pop,freak folk,indie folk,indie pop,indie r&b,indie rock,indietronica,lo-fi,neo-psychedelic,new rave,new weird america,noise pop,shimmer pop,stomp and holler,synthpop"
"101","acid jazz,alternative dance,big beat,disco house,electronic,new rave,nu jazz,nu skool breaks,trip hop,vocal house"
"102","album rock,alternative rock,classic rock,glam metal,hard rock,rock"
"103","alt-indie rock,alternative rock,big beat,britpop,dance rock,electronic,indie rock,madchester,neo-psychedelic,new romantic,new wave,new wave pop,post-punk,uk post-punk"
"104","album rock,art rock,blues-rock,british blues,classic rock,experimental,experimental rock,hard rock,kraut rock,neo-psychedelic,progressive rock,protopunk,psychedelic rock,pub rock,rock,space rock,stoner rock,symphonic rock"
"105","dance rock,new romantic,new wave,new wave pop"
"106","alternative dance,chamber pop,chillwave,dance-punk,electronic,indie christmas,indie pop,indie r&b,indie rock,indietronica,new rave,synthpop"
"107","alternative dance,alternative rock,dance-punk,garage rock,indie pop,indie rock,indietronica,new rave,new wave,pop rock,rock"
"108","album rock,classic rock,hard rock,metal,nwobhm,rock"
