"Title_Number","Tenure","Property_Address","District","County","Region","Postcode","Multiple_Address_Indicator","Price_Paid","Proprietor_Name1","Company_Registration_No","Proprietorship_Category_1","CountryIncorporated1","Proprietor_1_Address_1","Proprietor_1_Address_2","Proprietor_1_Address_3","Proprietor_Name_2","Company_Registration_No_2","Proprietorship_Category_2","CountryIncorporated2","Proprietor_2_Address_1","Proprietor_2_Address_2","Proprietor_2_Address_3","Proprietor_Name_3","Company_Registration_No_3","Proprietorship_Category_3","CountryIncorporated3","Proprietor_3_Address_1","Proprietor_3_Address_2","Proprietor_3_Address_3","Proprietor_Name_4","Company_Registration_No_4","Proprietorship_Category_4","Country_Incorporated4","Proprietor_4_Address_1","Proprietor_4_Address_2","Proprietor_4_Address_3","Date_Proprietor_Added","Additional_Proprietor_Indicator","Latitude","Longitude"
"MM49304","Freehold","148 Adderley Street, Birmingham (B9 4ED)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B9 4ED","N","427590","BELLERIVE REGEN 7 LIMITED",,"Limited Company or Public Limited Company","JERSEY","Elizabeth House, 9 Castle Street, St Helier, Jersey, JE2 3RT",,,,,,,,,,,,,,,,,,,,,,,,"18-07-2017","N","52.4760072","-1.8781989"
"MM51443","Leasehold","the airspace above the roof of 231 East Meadway, Tile Cross (B33 0EN)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B33 0EN","N",,"SALCON POWER (HK) LIMITED",,"Limited Company or Public Limited Company","HONG KONG","20/F Fung House, No 19-20 Connaught Road Central, Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,"27-04-2015","N","52.4817817852059","-1.76352931836666"
"MM52475","Freehold","1-54 Whetstone Close, Farquhar Road, Edgbaston, Birmingham (B15 2QL)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B15 2QL","N",,"ADRIATIC LAND 3 LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Mont Crevelt House, Bulwer Avenue, St Sampson, Guernsey, GY2 4LH",,,,,,,,,,,,,,,,,,,,,,,,"15-05-2015","N","52.4566545851466","-1.9304897494546"
"MM70376","Leasehold","1, Grand Square, 50 Livingstone Road, Lozells And East Handsworth, Birmingham (B20 3LL)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B20 3LL","N",,"WYLAND COMM. VA.",,"Unlimited Company","BELGIUM","Maurice Vandammestraat, 7,9160,lokeren, Belgium",,,,,,,,,,,,,,,,,,,,,,,,"17-05-2016","N","52.5114223405804","-1.90537020098699"
"MM303","Leasehold","Unit 308, Lyttleton House, Bridge Road, Saltley, Birmingham (B8 3TE)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B8 3TE","N",,"MASS.COM LIMITED",,"Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Unit 10805 PO Box, 6945, London W1A 6US",,,,,,,,,,,,,,,,,,,,,,,,"27-01-2012","N","52.4845195","-1.8504837"
"MM775","Leasehold","Airspace above 48 Shirestone Road, Birmingham (B33 0DG)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B33 0DG","N",,"SOLARFAIR INVESTMENTS LIMITED",,"Limited Company or Public Limited Company","JERSEY","PO Box 781, 8 Church Street, St Helier, Jersey JE4 0SG",,,,,,,,,,,,,,,,,,,,,,,,"13-12-2012","N","52.4797968626374","-1.76446769872929"
"WK5639","Freehold","87 Turves Green, Birmingham (B31 4AH)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B31 4AH","N","35000","FORTMEADOWS LTD",,"Limited Company or Public Limited Company","CYPRUS","George Vassiliou Law Office, 22 arch. Makarios iii Avenue, Makaria Centre Office 40, 6017 Larnaca, Cyprus","11a Vicarage Place, Walsall WS1 3NA",,,,,,,,,,,,,,,,,,,,,,,"11-08-2014","N","52.4032602714257","-1.96533356994297"
"WK40653","Freehold","72 Middleton Hall Road, Kings Norton, (B30 1BY)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B30 1BY","N","440000","HOLLAND PARK LIMITED",,"Limited Company or Public Limited Company","ISLE OF MAN","287 Green Lanes, London N13 4XS",,,,,,,,,,,,,,,,,,,,,,,,"13-12-2002","N","52.4154995542705","-1.93296439111984"
"WK45795","Freehold","land on the south side of Homer Street, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"LIDL UK GMBH","FC017929","Corporate Body","GERMANY","19 Worple Road, London SW19 4JS",,,,,,,,,,,,,,,,,,,,,,,,"21-11-2014","N","0","0"
"WK55965","Freehold","2267 Coventry Road, Sheldon, Birmingham (B26 3PD)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B26 3PD","N",,"KLEINWORT BENSON (GUERNSEY) LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Dorey Court, Admiral Park, St Peter Port, Guernsey, GY1 3BG",,,"BORROWDALE NOMINEES LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Dorey Court, Admiral Park, St Peter Port, Guernsey, GY1 3BG",,,,,,,,,,,,,,,,,"01-06-2012","N","52.451028841027","-1.77840929201225"
"WK81695","Leasehold","9 to 13 Floodgate Street, Digbeth","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"BELLERIVE REGEN 1 LIMITED",,"Limited Company or Public Limited Company","JERSEY","Elizabeth House, 9 Castle Street, St Helier, Jersey, JE2 3RT",,,,,,,,,,,,,,,,,,,,,,,,"18-07-2017","N","0","0"
"MM10355","Leasehold","Store Room 2, Sirius, John Bright Street, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"TRIWARD HOLDINGS LIMITED",,"Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","3/1A Parliament Lane, PO Box 453, Gibraltar","3 Coventry Innovation Village, Cheetah Road, Coventry CV1 2TL",,,,,,,,,,,,,,,,,,,,,,,"10-10-2012","N","0","0"
