,keywordsvec,Freq
205,̴1100,1
206,̴110250,1
207,̴1105,1
209,̴112560,1
210,̴120,1
211,̴1200,1
213,̴125,1
214,̴126,1
215,̴1280,1
216,̴13260,1
217,̴135,1
218,̴1350date,1
219,̴1360,1
220,̴138480,1
221,̴14,1
222,̴1425,1
223,̴1428,1
224,̴1440,1
225,̴14990,1
226,̴150,1
227,̴1500,1
228,̴1535date,1
229,̴157,1
230,̴15832,1
232,̴165,1
233,̴170,1
234,̴1713,1
235,̴175,1
236,̴17665,1
237,̴17673,1
240,̴20,1
242,̴2000,1
243,̴20000,1
244,̴2000destination,1
245,̴2012,1
246,̴2200,1
247,̴22577,1
248,̴23843,1
250,̴2445,1
251,̴24749,1
252,̴24994,1
254,̴252,1
255,̴255,1
256,̴260,1
257,̴275,1
259,̴28,1
260,̴2815,1
261,̴285,1
263,̴302,1
264,̴318,1
265,̴320,1
267,̴338,1
268,̴33852,1
269,̴3402,1
270,̴35,1
272,̴36,1
274,̴36750,1
275,̴370,1
276,̴372,1
277,̴37349,1
279,̴385,1
280,̴38632,1
281,̴38833,1
282,̴392,1
283,̴395,1
284,̴399,1
285,̴39994,1
286,̴40,1
288,a400m,1
289,̴42525,1
290,̴43,1
291,̴4399,1
293,̴446,1
294,̴45,1
295,̴450,1
296,̴450date,1
297,̴476,1
299,̴5000,1
301,̴514,1
302,̴5267,1
304,̴531,1
305,̴540,1
306,̴542,1
308,̴552date,1
309,̴578,1
310,̴59699,1
311,̴599,1
312,̴59970,1
313,̴60,1
315,̴600dates,1
317,̴608,1
318,̴61106,1
320,̴640,1
322,̴67704,1
324,̴714,1
325,̴71880,1
326,̴735,1
327,̴750,1
328,̴760,1
329,̴785,1
330,̴790,1
331,̴792,1
333,̴810,1
334,̴825,1
336,̴828,1
337,̴83336,1
338,̴85,1
340,̴8590,1
341,̴880date,1
342,̴900,1
343,̴92,1
345,̴944,1
346,̴95,1
347,̴950,1
348,̴980,1
352,accompanied,1
354,admission,1
355,admissions,1
358,ads',1
361,against,1
364,airbus,1
365,airshow,1
366,albert,1
368,also,1
372,annum,1
373,appear,1
376,april,1
377,arena,1
378,argentina,1
381,assaults,1
382,assistant,1
387,attendance,1
389,attending,1
390,august,1
392,award,1
398,bankdates,1
399,bbc,1
402,bed,1
403,ben,1
407,breakfast,1
408,breakfasts,1
409,bridge,1
411,bushmills,1
415,calcutta,1
416,calendar,1
419,capital,1
421,caravan,1
422,cardiff,1
424,cbi,1
425,celtic,1
428,chairman,1
434,chippenham,1
435,class,1
440,complementary,1
446,cornwall,1
449,county's,1
453,current,1
454,davis,1
457,debate,1
459,delegationregistered,1
460,delivery,1
461,democrats,1
462,demonstration,1
464,derby,1
468,director's,1
470,doncaster,1
471,donor's,1
472,drink,1
473,duration,1
476,eclipse,1
477,efl,1
479,elton,1
480,emirates,1
485,epsom,1
488,eu,1
489,evening,1
491,events,1
492,ewell,1
495,fact,1
497,fairford,1
498,family,1
499,fare,1
500,farnborough,1
501,fc,1
503,fee,1
505,field,1
509,finding,1
510,first,1
511,five,1
512,flat,1
514,fm,1
515,followed,1
522,gala,1
523,game,1
524,gave,1
526,given,1
527,glasgow,1
529,gleneagles,1
532,ground,1
533,group,1
534,grove,1
536,guests,1
538,haydock,1
539,healthcare,1
547,hotspur,1
551,incentive,1
554,industry,1
556,invitation,1
557,invitations,1
559,ireland,1
562,israel,1
564,ivor,1
566,jockey,1
567,john,1
570,ladbrokes,1
571,law,1
572,lawn,1
573,leader,1
575,lecture,1
576,left,1
577,leger,1
579,life,1
581,lords,1
583,m,1
584,man,1
585,manor,1
588,masters,1
590,may,1
592,meals,1
598,minister,1
599,model,1
600,monday,1
603,motorhome,1
604,mp,1
605,mps,1
611,nfl,1
612,ni,1
613,night's,1
617,noea,1
618,northern,1
620,novello,1
622,occasional,1
624,odi,1
626,off,1
627,officers,1
628,official,1
629,old,1
632,open,1
633,other,1
635,own,1
636,pa,1
637,park,1
638,parking,1
642,pass,1
644,pen,1
647,pitch,1
648,play,1
649,playoff,1
651,police,1
654,pride,1
655,principality,1
656,prix,1
657,programme,1
659,public,1
666,reading,1
669,referendum,1
673,relating,1
676,renewed,1
678,researcher,1
683,s,1
684,saturday,1
688,secondment,1
689,see,1
690,select,1
691,semi,1
692,semifinal,1
693,senior,1
695,several,1
696,shadow,1
697,sheffield,1
700,silverstone,1
702,snp,1
705,speak,1
706,speaker,1
708,sprint,1
709,st,1
713,stage,1
714,stamford,1
715,station,1
719,suit,1
720,summer,1
721,summertime,1
722,sunday,1
723,sunderland,1
724,sundries,1
726,talk,1
729,taxi,1
730,taxis,1
732,tennis,1
733,test,1
735,theatre,1
736,thirteen,1
738,thursday,1
741,time,1
742,times,1
744,took,1
746,totalling,1
747,tottenham,1
751,trafford,1
752,train,1
753,transport,1
755,trophy,1
759,undertaking,1
763,��spotlight���,1
764,utd,1
771,was,1
775,west,1
776,where,1
777,which,1
780,who,1
784,within,1
786,worth,1
788,x,1
790,york,1
