donoraddress,index,donationdesc
"Ramillies Buildings, 1-9 Hills Pl, London W1F 7SA",1bone_peter.htm,"two tickets with hospitality for NFL game at Wembley, with a total value of å£880Date of receipt of donation: 2 October 2016Date of acceptance of donation: 2 October 2016Donor status: company, registration 02777555(Registered 04 October 2016)"
"75 High Holborn, London WC1V 6LS",6robertson_laurence.htm,"hospitality for my wife and me at Cheltenham Races, approx. total value å£600Dates received: 13 and 17 March 2017Date accepted: 13 March 2017Donor status: company, registration 2909409.(Registered 26 April 2017)"
"Floor 2, Aspire House, Sitwell Street, Derby DE1 2JT",2latham_pauline.htm,"Tickets for a concert, and associated hospitality, for myself and my husband, with a value of å£550 per person, total å£1,100"
"30 Gloucester Place, London W1U 8PL",1lammy_david.htm, hospitality with a value of å£528 at FA cup
"Worthy Farm, Pilton, Shepton Mallet BA4 4BY",1corbyn_jeremy.htm,"Two tickets to Glastonbury, total value å£476, given to a member of my family"
"Imperial House, Imperial Drive, Rayners Lane, Harrow HA2 7JW",1davies_philip.htm,"three tickets for the Community Shield at Wembley Stadium with a value of å£45 each, total å£135"
"Severn Lodge, Alvington GL15 6BQ",2heappey_james.htm,"two tickets for the NOEA Awards Evening with a value of å£372, plus hotel stay worth å£180, total value å£552Date accepted: 24 November 2016"
"4th floor, 49 Whitehall, London SW1A 2BXAmount of donation, or nature and value if donation in kind: Ticket and hospitality for the Ivor Novello awards, value å£370, received because of my role in relation to DCMSDate received: 18 May 2017Date accepted: 18 May 2017Donor status: company, registration 03245288(Registered 07 July 2017)",3haigh_louise.htm,"Ticket and hospitality for the Ivor Novello awards, value å£370, received because of my role in relation to DCMS"
"Red Hall, Red Hall Lane, Leeds LS17 8NB",1twigg_derek.htm,Two tickets and hospitality to the value of å£360 received for the Rugby League Grand Final
"Imperial House, Imperial Drive, Rayners Lane, Harrow HA2 7JW",6davies_philip.htm,"two tickets and hospitality at Cheltenham Races, with a value of å£350 each, total å£700"
"5th Floor, The Zig Zag Building, 70 Victoria Street, London SW1E 6SG",5robertson_laurence.htm,"two tickets and hospitality for my wife and me at Cheltenham Races, with a value of å£350 each, total å£700"
"5th Floor, The Zig Zag Building, 70 Victoria Street, London SW1E 6SQ",8robertson_laurence.htm,"three tickets and hospitality for my senior parliamentary assistant, my wife and me at Ascot Racecourse, with a value of å£350 each, total å£1,050"
"Greenside House, 50 Station Road, Wood Green, London N22 7TP",9robertson_laurence.htm,"two tickets and hospitality for my wife and me at Ascot Racecourse, with a value of å£350 each, total å£700"
"One Stratford Place, Montfitchet Road, London E20 1EJ",5davies_philip.htm,"two tickets and hospitality at Cheltenham Races, with a value of å£300 each, total å£600"
"One Stratford Place, Montfitchet Road, London E20 1EJ",4robertson_laurence.htm,"two tickets and hospitality for my wife and me at Cheltenham Races, with a value of å£300 each, total å£600"
"Craigneuk Avenue, Airdrie ML6 8QZ",1gray_neil.htm,"two hospitality tickets to see Elton John concert held within constituency, value å£250 each, total value å£500."
"One Stratford Place, Montfitchet Road, London E20 1EJ",4davies_philip.htm,"two tickets and hospitality at Coral Sprint Trophy in York, with a value of å£250 each, total å£500"
"Burnaston, Derbyshire DE1 9TA",1wheeler_heather.htm,"football match & lunch tickets, for me and my husband, to Derby County's Pride Park ground; å£150 per person, total value å£300"
could not extract,13bercow_john.htm,"two tickets for the Royal Box at the Wimbledon championships on 13 July 2017, estimated value å£8,590"
"Auchterarder, Perthshire PH3 1NF",1bercow_john.htm,"whilst undertaking a visit in my capacity as Speaker, for a member of staff and myself, one night's accommodation and hospitality with a total value of å£2,815"
"25 Argyll Street, London W1F 7TU",1watson_tom.htm,"Five tickets with hospitality to attend Glastonbury Festival, total value å£2,445"
"The London Television Centre, Upper Ground, London SE1 9LTAmount of donation, or nature and value if donation in kind: Two tickets to the Six Nations Rugby, and accompanying hospitality, value å£2,012Date received: 11 March 2017Date accepted: 11 March 2017Donor status: company, registration 4967001(Registered 28 March 2017)",2davies_mims.htm,"Two tickets to the Six Nations Rugby, and accompanying hospitality, value å£2,012"
"Capestone Farm, Walwyn's Castle, Haverfordwest SA62 3DY",2crabb_stephen.htm,"Two M & S Charity Ball tickets with a value of å£2,000"
"124-126 Horseferry Rd, Westminster, London SW1P 2TX",2collins_damian.htm,"two tickets to the BAFTAs, total value including hospitality å£1,840"
"124 Horseferry Road, London SW1P 2TX",1haigh_louise.htm,"In my role as Shadow Minister for Culture, Media and Sport, two tickets and hospitality at the British Film and Television Awards ceremony, value å£1,840"
"124 Horseferry Road, London SW1P 2TX",1huddleston_nigel.htm,"in my capacity as a member of the Culture, Media and Sport Committee, hospitality for myself and my wife at the BAFTAs with a total value of å£1,840 (å£920 per person)"
"124 Horseferry Road, London SW1P 2TX",1loughton_tim.htm,"Tickets for my wife and me to attend the BAFTA ceremony at the Royal Albert Hall followed by official dinner, total value of å£1,840 (å£920 per person)"
"124 Horseferry Road, London SW1P 2TX",2adams_nigel.htm,"In my role on the culture, media and sport select committee I was invited to and accepted two tickets and hospitality at the British Film and Television Awards ceremony, value å£1,840"
"Stamford Bridge, Fulham Road, London SW6 1HS",1vaizey_edward.htm,"two tickets, including hospitality, to a football match at Chelsea Football Club, value å£1,428"
"National Tennis Centre, 100 Priory Lane, London SW15 5JQ",2bercow_john.htm,"Two tickets, with associated hospitality, for the Davis Cup semi final at the Emirates Arena in Glasgow between 16 and 18 September 2016, value å£1,384.80"
"Talbot Athletic Ground, Manor St, Port Talbot SA13 1AB",1kinnock_stephen.htm,"Wales v England match tickets for me and my wife with a total value of å£1,280"
"The London Television Centre, Upper Ground, London SE1 9LT",4coffey_therese.htm,"hospitality for me and a guest to the Grand National, total value å£1,125.60"
"2 Pancras Square, London N1C 4AG",4collins_damian.htm,"two tickets, including hospitality, for the Glastonbury Festival value with a value of å£1,108.32"
"2 Pancras Square, London N1C 4AG",2brine_steve.htm,"Two tickets to Glastonbury and accommodation with a total value of å£1,108.32 (å£950 for tickets and å£158.32 for accommodation)"
"Riverside Park, Colnbrook SL3 0HG",3burden_richard.htm,"two passes and hospitality for 2017 British Grand Prix at Silverstone, value å£1,084 (å£542 per person)"
"The London Television Centre, Upper Ground, London SE1 9LT",3collins_damian.htm,"ticket, including hospitality, for the National Television Awards with a value of å£1,028"
"2 Pancras Square, London N1C 4AG",3adams_nigel.htm,"In my capacity as Chairman of the All Party Parliamentary Group for Music, I received two tickets and accommodation at Glastonbury music festival to the value of å£1,019.46"
"75 High Holborn, London WC1V 6LS",7robertson_laurence.htm,"hospitality at Aintree Racecourse, approx. value å£1,000"
"30 Leicester Square, London WC2H 7LA",2vaizey_edward.htm,"four tickets and hospitality to Capital FM Summertime Ball with a value of å£1,000"
"6 Catherine St, London WC2B 5JJ",1stevenson_john.htm,"Hospitality at several dinners, with an estimated total value of å£850"
"Stradey Park Business Centre, Llangennech, Llanelli SA14 8YP",3crabb_stephen.htm,"Four tickets with hospitality for the Wales v Argentina match at the Principality Stadium, Cardiff, value å£833.36"
"3 Market Close, Poole BH15 1NQ",1penrose_john.htm,"hospitality and rugby pass for England v Scotland at Twickenham (Calcutta Cup), value å£828"
"Highbury House, 75 Drayton Park, London N5 1BU",9bercow_john.htm,"three tickets to attend a football match on 22 January 2017, and associated hospitality; total value å£825"
private,4bercow_john.htm,"two tickets to attend a football match on 19 November 2016, and associated hospitality; total value å£810"
"The Ageas Bowl, Botley Road, West End, Southampton SO30 3XH",1jayawardena_ranil.htm,"two tickets, with hospitality, for the England v South Africa ODI, with an approx. value å£800"
"Grant Way, Isleworth TW7 5QD",1brine_steve.htm,"Two tickets to the British Masters at the Grove Golf Club, with a value of å£800"
"30 Gloucester Place, London W1U 8PL",1hands_greg.htm,"three tickets and hospitality to FA Cup Semi-Final (Chelsea v Tottenham Hotspur), total value å£792"
"100 Priory Lane, Roehampton, London SW15 5JQ",1pursglove_tom.htm,"two tickets and associated hospitality to ATP World Tour Finals, with a  total value of å£790 (å£395 each)"
"The London Television Centre, Upper Ground, London SE1 9LT",3davies_mims.htm,"Ticket to Royal Ascot, with accompanying hospitality, value å£718.80"
"Stamford Bridge, Fulham Road, London, SW6 1HS",1collins_damian.htm,"a ticket to watch Chelsea v Man Utd, total value including hospitality å£714"
"50 Station Road, Wood Green, London N22 7TP",8davies_philip.htm,two tickets to Royal Ascot with a value of å£700 (å£350 per person)
"Garavi Gujarat House, 1-2 Silex Street, London SE1 0DW",1vara_shailesh.htm,"Two tickets plus hospitality at a football match at Stamford Bridge, total value å£677.04 (å£338.52 per person)"
"55 Blandford Street, London W1U 7HW",1betts_clive.htm,"two tickets and hospitality to watch Sheffield Wednesday FC at Wembley in the Championship Playoff Final, total estimated value å£650"
"Imperial House, Imperial Drive, Rayners Lane, Harrow HA2 7JW",1coffey_therese.htm,"for a member of staff and myself, hospitality at Royal Ascot with a value of å£640 (å£320 per person)"
"Palliser Road, West Kensington, London W14 9EQ",3leslie_chris.htm,"two tickets, with associated hospitality, for the Aegon Championships; total value å£630"
"Palliser Road, London W14 9EQ",12bercow_john.htm,"two tickets to attend the Aegon Championships, with associated hospitality; value å£630"
"Twickenham Stadium, 200 Whitton Road, Twickenham TW2 7BA",2fallon_michael.htm,"Two tickets with hospitality for myself and my wife for the Six Nations England vs Scotland match, value å£608"
"National Tennis Centre, 100 Priory Lane, Roehampton, London SW15 5JQ",1evans_chris.htm,"One ticket with hospitality to the ATP World Tour Finals, total value å£605"
"National Tennis Centre, 100 Priory Lane, Roehampton, London SW15 5JQ",2leslie_chris.htm,One ticket with hospitality to the ATP World Tour Finals; total value å£605
"Stamford Bridge, London SW6 1HS",2hands_greg.htm,"2 tickets to Chelsea v Sunderland, including hospitality in the Director's Box, with an estimated total value of å£600"
private,1green_damian.htm,"Ticket with hospitality for a rugby international at Twickenham, value å£599.70"
"London Television Centre, Upper Ground, London SE1 9LT",1nokes_caroline.htm,ticket and hospitality to the Royal Ascot with a value of å£599
"Highbury House, 75 Drayton Park, London N5 1BU",3bercow_john.htm,"two tickets to attend a football match on 6 November 2016, and associated hospitality; total value å£550"
"Highbury House, 75 Drayton Park, London N5 1BU",10bercow_john.htm,"two tickets to attend a football match on 31 January 2017, and associated hospitality; total value å£550"
"Highbury House, 75 Drayton Park, London N5 1BU",11bercow_john.htm,"two tickets to attend a football match on 7 March 2017, and associated hospitality; total value å£550"
"Covent Garden, London WC2E 9DD",1bridgen_andrew.htm,two tickets with a total value of å£540
"30 Gloucester Place, London, W1U 8PL",1smith_royston.htm,"two tickets for football match on Saturday 25 February 2017, with associated hospitality, estimated value å£528"
"Floor 2, Wellington House, 125-130 Strand, London WC2R 0AP",2doughty_stephen.htm,"three tickets to the Royal International Air Tattoo 2017, plus hospitality with a value of å£510 (å£170 per person), also an Airbus Pen (å£43) and A400M Model (å£43.99), total value å£596.99"
"Longford House, 19 Mount Ephraim Rd, Tunbridge Wells TN1 1EN",3heappey_james.htm,"two tickets for the Meetings and Incentive Travel Awards, value å£510"
"2nd Floor, Regent Arcade House, 19-25 Argyll Street, London W1F 7TS",1sharma_alok.htm,"two tickets to the Reading Festival, which is held in my constituency, total value å£510"
"Imperial House, Imperial Drive, Rayners Lane, Harrow HA2 7JW",2davies_philip.htm,"two tickets with hospitality to St Leger Races, value å£500 (å£250 each)"
"Tannadice Park, Dundee DD3 7JW",1hosie_stewart.htm,"Entry to Tannadice and hospitality for the season, value å£500"
"Tannadice Park, Dundee DD3 7JW",2hosie_stewart.htm,"Entry to Tannadice and hospitality for the current season for myself and an occasional guest, value å£500"
"Worthy Farm, Pilton, Shepton Mallet BA4 4BY",1black_mhairi.htm,"two tickets for Glastonbury 2016, where I gave a talk and took part in a political debate on the Left Field Stage, total value å£446"
"Lord's Cricket Ground, London NW8 8QZ",1fallon_michael.htm,"two tickets with hospitality, total value of å£400"
"Main Road, Morley, DE7 6DG",1latham_pauline.htm,"Tickets for football match, and associated hospitality, for myself and my husband, with a total value of å£400"
"75 High Holborn, London WC1V 6LS",2mcginn_conor.htm,"Attended Grand National and received hospitality at Aintree Racecourse, as a guest of the Jockey Club (who own Haydock Racecourse), total value å£399"
"Grant Way, Isleworth TW7 5QD",3fallon_michael.htm,"Two tickets with hospitality for the England vs South Africa test match at Lords, value å£392"
"Palliser House, Palliser Road, London W14 9EB",5bercow_john.htm,"two tickets to attend the ATP World Tour Finals on Sunday 20 November 2016, and associated hospitality; total value å£385"
"Red Hall, Red Hall Lane, Leeds LS17 8NB",1crabb_stephen.htm,Two tickets and hospitality at Old Trafford with a value of å£360
"23 King Street, St James', London SW1Y 8QY",1chope_christopher.htm,"Hospitality for myself and my wife at Fairford Air Tattoo, total estimated value å£350"
"One Stratford Place, Montfitchet Road, London E20 1EJ",11davies_philip.htm,two tickets to Coral Eclipse with a value of å£350 (å£175 each)
"30 Gloucester Place, London, W1U 8PL",3grayling_chris.htm,"two tickets with hospitality for the FA Community Shield, estimated value å£350"
"30 Gloucester Place, London W1U 8PL",4grayling_chris.htm,"two tickets with hospitality for the EFL Cup final, estimated value å£350"
"Imperial House, Imperial Drive, Rayners Lane, Harrow HA2 7JWAmount of donation, or nature and value if donation in kind: Ticket and hospitality at the Cheltenham Festival, value å£350Date received: 16 March 2017Date accepted: 16 March 2017Donor status: company, registration 00566221(Registered 04 April 2017)",1mcginn_conor.htm,"Ticket and hospitality at the Cheltenham Festival, value å£350"
"Gunnels Wood Road, Stevenage SG1 2AS",1howell_john.htm,"Hospitality at the Royal International Air Tattoo for myself and a member of staff, total value å£338"
"Coldra Woods, Newport, South Wales NP18 1HQ",4heappey_james.htm,Hospitality and overnight stay at the Celtic Manor totalling å£330
private,8bercow_john.htm,"two tickets to attend a football match on Wednesday 23 November 2016, with associated hospitality; value å£330"
"Floor 2, Wellington House, 125-130 Strand, London WC2R 0AP",1doughty_stephen.htm,"three tickets to the Royal International Air Tattoo plus hospitality, value å£318 (å£106 per person)"
"Church Road, Wimbledon, London SW19 5AE",2watson_tom.htm,"Two tickets for Wimbledon, including lunch, value å£302"
"Palliser House, Palliser Road, London W14 9EB",6bercow_john.htm,"two tickets to attend the ATP World Tour Finals on Monday 14 November 2016, and associated hospitality, value å£277"
"Palliser House, Palliser Road, London W14 9EB",7bercow_john.htm,"two tickets to attend the ATP World Tour Finals on Thursday 17 November 2016, and associated hospitality, value å£277"
"2 Wellington Place, Leeds LS1 4AP",10davies_philip.htm,three tickets for League 1 Play Off with a value of å£255 (å£85 each)
"National Tennis Centre, 100 Priory Lane, Roehampton, London SW15 5JQ",1leslie_chris.htm,Two tickets to All England Lawn Tennis Club Championships at Wimbledon; total value å£252
"Imperial House, Imperial Drive, Rayners Lane, Harrow HA2 7JW",2coffey_therese.htm,hospitality received at Doncaster Races with a value of å£250
"2 Wellington Place, Leeds LS1 4AP",9davies_philip.htm,two tickets for Cheltenham with a value of å£250 (å£125 each)
"Imperial House, Imperial Drive, Rayners Lane, Harrow HA2 7JW",2robertson_laurence.htm,"hospitality at Conservative Party conference for my wife and me, approx. value å£200"
"Phase 2, 2 Crewe Road North, Edinburgh EH5 2XS",1whitford_philippa.htm,"hospitality at ADS' annual dinner, value å£109.61"
"Phase 2, 2 Crewe Road North, Edinburgh EH5 2XS",2whitford_philippa.htm,"hospitality at ADS industry dinner with SNP MPs, value å£92"
