"","generalElectionVote","partyId1","partyId","countryOfBirth","reasonForVote"
"6082",3,10,10,1,4
"6083",3,10,10,1,3
"6084",6,2,2,1,5
"6085",3,2,2,1,4
"6086",2,2,2,NA,1
"6087",2,2,2,1,1
"6088",3,3,3,1,1
"6089",3,3,3,1,2
"6090",2,2,2,1,2
"6091",1,10,10,1,4
"6092",3,3,3,1,3
"6093",3,3,3,NA,1
"6094",1,3,3,1,5
"6095",1,1,1,1,1
"6096",3,10,10,2,3
"6097",6,6,6,1,2
"6098",3,3,3,1,3
"6099",2,2,2,1,1
"6100",3,10,10,1,3
"6101",2,2,2,NA,1
"6102",NA,2,2,1,NA
"6103",NA,2,2,NA,NA
"6104",3,2,2,1,4
"6105",1,1,1,1,1
"6106",3,2,2,NA,4
"6107",9,10,10,1,0
"6108",1,1,1,1,1
"6109",1,10,10,1,5
"6110",1,2,2,1,4
"6111",3,3,3,1,1
"6112",3,3,3,1,1
"6113",1,1,1,1,2
"6114",2,2,2,1,5
"6115",1,1,1,1,2
"6116",1,1,1,1,2
"6117",7,7,7,1,2
"6118",1,1,1,1,1
"6119",1,3,3,1,4
"6120",9,2,2,1,5
"6121",1,1,1,1,2
"6122",1,1,1,1,1
"6123",3,9,9,2,5
"6124",1,1,1,1,2
"6125",3,2,2,1,5
"6126",3,1,1,1,2
"6127",3,3,3,1,3
"6128",2,2,2,1,2
"6129",1,1,1,1,2
"6130",1,1,1,1,2
"6131",6,1,1,8,5
"6132",3,3,3,1,3
"6133",6,2,2,1,5
"6134",6,6,6,1,1
"6135",NA,3,3,7,NA
"6136",3,2,2,1,3
"6137",1,1,1,1,2
"6138",2,1,1,1,4
"6139",NA,1,1,1,NA
"6140",3,99,9999,1,4
"6141",1,1,1,1,1
"6142",2,6,6,1,3
"6143",7,7,7,1,1
"6144",2,9,9,1,4
"6145",1,1,1,1,2
"6146",1,2,2,1,2
"6147",2,2,2,NA,2
"6148",2,2,2,1,1
"6149",1,1,1,NA,1
"6150",6,1,1,1,5
"6151",NA,10,10,1,NA
"6152",2,2,2,1,1
"6153",1,1,1,1,2
"6154",2,2,2,NA,9999
"6155",2,2,2,7,1
"6156",3,3,3,NA,2
"6157",3,3,3,NA,3
"6158",2,2,2,NA,3
"6159",NA,10,10,1,NA
