"","generalElectionVote","partyId1","partyId","countryOfBirth","reasonForVote"
"6823",4,4,4,2,2
"6824",9999,10,10,2,0
"6825",2,10,10,2,3
"6826",4,4,4,2,2
"6827",2,2,2,2,5
"6828",2,2,2,2,1
"6829",4,4,4,2,2
"6830",2,2,2,2,1
"6831",4,4,4,2,2
"6832",9,10,10,2,0
"6833",2,3,3,2,4
"6834",4,4,4,NA,3
"6835",4,4,4,NA,2
"6836",4,4,4,2,3
"6837",4,4,4,2,1
"6838",2,10,10,2,4
"6839",4,4,4,NA,2
"6840",6,10,10,2,2
"6841",2,2,2,2,2
"6842",2,2,2,2,1
"6843",4,2,2,2,2
"6844",1,1,1,1,1
"6845",4,2,2,2,2
"6846",NA,4,4,2,NA
"6847",4,4,4,2,3
