"","Var1","Freq"
"1","00",2581
"2","01",2121
"3","02",3090
"4","03",3218
"5","04",2989
"6","05",1904
"7","06",1390
"8","07",2164
"9","08",2696
"10","09",1526
"11","10",1708
"12","11",2863
"13","12",2471
"14","13",1817
"15","14",3654
"16","15",4557
"17","16",4269
"18","17",3074
"19","18",2287
"20","19",2365
"21","20",3103
"22","21",2004
"23","22",2817
"24","23",3961
