"","InName","totalmoves","OutCode"
"1",NA,1984.0946,NA
"2","Newcastle upon Tyne",1759.4714,NA
"3","Leeds",920.9898,NA
"4","Hammersmith and Fulham",848.3184,NA
"5","Plymouth",816.6045,NA
"6","Bristol",784.3018,NA
"7","Liverpool",725.9788,NA
"8","Manchester",707.6438,NA
"9","County Durham",645.0953,NA
"10","Nottingham",643.7667,NA
"11","Camden",637.1161,NA
"12","Sandwell",705.4137,"Birmingham"
"13","Solihull",604.7927,"Birmingham"
"14",NA,536.2382,"Birmingham"
"15","Leicester",516.9442,"Birmingham"
"16","Nottingham",484.7251,"Birmingham"
"17","Coventry",445.5053,"Birmingham"
"18","Walsall",386.4265,"Birmingham"
"19","Manchester",373.8559,"Birmingham"
"20","Dudley",333.4354,"Birmingham"
"21","Leeds",316.098,"Birmingham"
"22","Sheffield",305.57,"Birmingham"
"23",NA,701.5386,"Leeds"
"24","Manchester",660.7682,"Leeds"
"25","Kirklees",625.7553,"Leeds"
"26","Bradford",582.2126,"Leeds"
"27","Sheffield",545.7295,"Leeds"
"28","Newcastle upon Tyne",525.1071,"Leeds"
"29","Wakefield",496.5263,"Leeds"
"30","York",366.6019,"Leeds"
"31","Birmingham",357.2575,"Leeds"
"32","Liverpool",330.0787,"Leeds"
"33","Nottingham",289.9975,"Leeds"
"34","Rushcliffe",933.3605,"Nottingham"
"35","Broxtowe",720.4936,"Nottingham"
"36",NA,497.2943,"Nottingham"
"37","Birmingham",472.4129,"Nottingham"
"38","Gedling",385.1894,"Nottingham"
"39","Leeds",271.1302,"Nottingham"
"40","Leicester",268.7668,"Nottingham"
"41","Sheffield",266.4858,"Nottingham"
"42","Manchester",221.6589,"Nottingham"
"43","Derby",220.1343,"Nottingham"
"44","Barnet",195.2264,"Nottingham"
"45","Salford",897.6136,"Manchester"
"46",NA,502.0038,"Manchester"
"47","Stockport",497.4312,"Manchester"
"48","Leeds",477.6331,"Manchester"
"49","Trafford",399.3203,"Manchester"
"50","Liverpool",365.118,"Manchester"
"51","Sheffield",336.0525,"Manchester"
"52","Tameside",292.7152,"Manchester"
"53","Birmingham",286.1912,"Manchester"
"54","Preston",271.2957,"Manchester"
"55","Oldham",234.7939,"Manchester"
"56","Leeds",663.0589,"Sheffield"
"57","Rotherham",469.4623,"Sheffield"
"58","Manchester",440.5025,"Sheffield"
"59",NA,415.8776,"Sheffield"
"60","Birmingham",287.6739,"Sheffield"
"61","Nottingham",250.6208,"Sheffield"
"62","Barnsley",217.8275,"Sheffield"
"63","Derby",217.0022,"Sheffield"
"64","Newcastle upon Tyne",211.4896,"Sheffield"
"65","York",206.6062,"Sheffield"
"66","Stockport",201.9182,"Sheffield"
"67","South Gloucestershire",872.7487,"Bristol"
"68",NA,459.9415,"Bristol"
"69","North Somerset",320.5774,"Bristol"
"70","Cardiff",317.3785,"Bristol"
"71","Bath and North East Somerset",223.0358,"Bristol"
"72","Birmingham",187.5232,"Bristol"
"73","Wandsworth",172.1375,"Bristol"
"74","Lambeth",172.1134,"Bristol"
"75","Plymouth",163.7032,"Bristol"
"76","Manchester",163.0841,"Bristol"
"77","Wiltshire",159.5248,"Bristol"
"78",NA,546.7701,"Liverpool"
"79","Sefton",437.4907,"Liverpool"
"80","Wirral",405.898,"Liverpool"
"81","Manchester",388.6587,"Liverpool"
"82","Cheshire West and Chester",382.7945,"Liverpool"
"83","Knowsley",371.734,"Liverpool"
"84","Leeds",296.4493,"Liverpool"
"85","Birmingham",199.5343,"Liverpool"
"86","West Lancashire",179.2428,"Liverpool"
"87","Cheshire East",174.3557,"Liverpool"
"88","Sheffield",155.6647,"Liverpool"
"89","Birmingham",531.6268,"Leicester"
"90","Charnwood",360.6028,"Leicester"
"91","Nottingham",279.1895,"Leicester"
"92","Blaby",258.166,"Leicester"
"93",NA,247.1192,"Leicester"
"94","Oadby and Wigston",224.9293,"Leicester"
"95","Coventry",218.3636,"Leicester"
"96","Sheffield",186.6553,"Leicester"
"97","Leeds",159.7754,"Leicester"
"98","Derby",120.523,"Leicester"
"99","Manchester",117.615,"Leicester"
"100","Eastleigh",283.9883,"Southampton"
"101",NA,258.6864,"Southampton"
"102","Bournemouth",163.3467,"Southampton"
"103","New Forest",151.018,"Southampton"
"104","Wiltshire",139.193,"Southampton"
"105","Portsmouth",137.4481,"Southampton"
"106","Winchester",128.7963,"Southampton"
"107","Bristol",117.6768,"Southampton"
"108","Brighton and Hove",103.7181,"Southampton"
"109","Test Valley",100.495,"Southampton"
"110","Wandsworth",94.6159,"Southampton"
"111","Warwick",1849.0356,"Coventry"
"112","Birmingham",486.4497,"Coventry"
"113",NA,261.7285,"Coventry"
"114","Nuneaton and Bedworth",239.8087,"Coventry"
"115","Leicester",218.9611,"Coventry"
"116","Nottingham",181.492,"Coventry"
"117","Manchester",105.1142,"Coventry"
"118","Tower Hamlets",104.6586,"Coventry"
"119","Bristol",102.3073,"Coventry"
"120","Sheffield",100.9805,"Coventry"
"121","Southwark",98.9014,"Coventry"
